@RELATION BnB
@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE a25 REAL
@ATTRIBUTE a26 REAL
@ATTRIBUTE a27 REAL
@ATTRIBUTE a28 REAL
@ATTRIBUTE a29 REAL
@ATTRIBUTE a30 REAL
@ATTRIBUTE a31 REAL
@ATTRIBUTE a32 REAL
@ATTRIBUTE a33 REAL
@ATTRIBUTE a34 REAL
@ATTRIBUTE a35 REAL
@ATTRIBUTE a36 REAL
@ATTRIBUTE a37 REAL
@ATTRIBUTE a38 REAL
@ATTRIBUTE a39 REAL
@ATTRIBUTE a40 REAL
@ATTRIBUTE a41 REAL
@ATTRIBUTE a42 REAL
@ATTRIBUTE a43 REAL
@ATTRIBUTE a44 REAL
@ATTRIBUTE a45 REAL
@ATTRIBUTE a46 REAL
@ATTRIBUTE a47 REAL
@ATTRIBUTE a48 REAL
@ATTRIBUTE a49 REAL
@ATTRIBUTE a50 REAL
@ATTRIBUTE a51 REAL
@ATTRIBUTE a52 REAL
@ATTRIBUTE a53 REAL
@ATTRIBUTE a54 REAL
@ATTRIBUTE a55 REAL
@ATTRIBUTE a56 REAL
@ATTRIBUTE a57 REAL
@ATTRIBUTE a58 REAL
@ATTRIBUTE a59 REAL
@ATTRIBUTE a60 REAL
@ATTRIBUTE a61 REAL
@ATTRIBUTE a62 REAL
@ATTRIBUTE a63 REAL
@ATTRIBUTE a64 REAL
@ATTRIBUTE a65 REAL
@ATTRIBUTE a66 REAL
@ATTRIBUTE a67 REAL
@ATTRIBUTE a68 REAL
@ATTRIBUTE a69 REAL
@ATTRIBUTE a70 REAL
@ATTRIBUTE a71 REAL
@ATTRIBUTE a72 REAL
@ATTRIBUTE a73 REAL
@ATTRIBUTE a74 REAL
@ATTRIBUTE a75 REAL
@ATTRIBUTE a76 REAL
@ATTRIBUTE a77 REAL
@ATTRIBUTE a78 REAL
@ATTRIBUTE a79 REAL
@ATTRIBUTE a80 REAL
@ATTRIBUTE a81 REAL
@ATTRIBUTE a82 REAL
@ATTRIBUTE a83 REAL
@ATTRIBUTE a84 REAL
@ATTRIBUTE a85 REAL
@ATTRIBUTE a86 REAL
@ATTRIBUTE a87 REAL
@ATTRIBUTE a88 REAL
@ATTRIBUTE a89 REAL
@ATTRIBUTE a90 REAL
@ATTRIBUTE a91 REAL
@ATTRIBUTE a92 REAL
@ATTRIBUTE a93 REAL
@ATTRIBUTE a94 REAL
@ATTRIBUTE a95 REAL
@ATTRIBUTE a96 REAL
@ATTRIBUTE a97 REAL
@ATTRIBUTE a98 REAL
@ATTRIBUTE a99 REAL
@ATTRIBUTE a100 REAL
@ATTRIBUTE a101 REAL
@ATTRIBUTE a102 REAL
@ATTRIBUTE a103 REAL
@ATTRIBUTE a104 REAL
@ATTRIBUTE a105 REAL
@ATTRIBUTE a106 REAL
@ATTRIBUTE a107 REAL
@ATTRIBUTE a108 REAL
@ATTRIBUTE a109 REAL
@ATTRIBUTE a110 REAL
@ATTRIBUTE a111 REAL
@ATTRIBUTE a112 REAL
@ATTRIBUTE a113 REAL
@ATTRIBUTE a114 REAL
@ATTRIBUTE a115 REAL
@ATTRIBUTE a116 REAL
@ATTRIBUTE a117 REAL
@ATTRIBUTE a118 REAL
@ATTRIBUTE a119 REAL
@ATTRIBUTE a120 REAL
@ATTRIBUTE a121 REAL
@ATTRIBUTE a122 REAL
@ATTRIBUTE a123 REAL
@ATTRIBUTE a124 REAL
@ATTRIBUTE a125 REAL
@ATTRIBUTE a126 REAL
@ATTRIBUTE a127 REAL
@ATTRIBUTE a128 REAL
@ATTRIBUTE a129 REAL
@ATTRIBUTE a130 REAL
@ATTRIBUTE a131 REAL
@ATTRIBUTE a132 REAL
@ATTRIBUTE a133 REAL
@ATTRIBUTE a134 REAL
@ATTRIBUTE a135 REAL
@ATTRIBUTE a136 REAL
@ATTRIBUTE a137 REAL
@ATTRIBUTE a138 REAL
@ATTRIBUTE a139 REAL
@ATTRIBUTE a140 REAL
@ATTRIBUTE a141 REAL
@ATTRIBUTE a142 REAL
@ATTRIBUTE a143 REAL
@ATTRIBUTE a144 REAL
@ATTRIBUTE a145 REAL
@ATTRIBUTE a146 REAL
@ATTRIBUTE a147 REAL
@ATTRIBUTE a148 REAL
@ATTRIBUTE a149 REAL
@ATTRIBUTE a150 REAL
@ATTRIBUTE class     {0, 1}
@DATA
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000316, 0.000422, 0.001371, 0.001899, 0.001793, 0.001477, 0.002004, 0.001055, 0.001899, 0.002110, 0.002954, 0.003165, 0.002954, 0.001899, 0.002637, 0.002321, 0.003059, 0.004641, 0.020359, 0.033440, 0.042090, 0.076796, 0.053588, 0.045888, 0.030486, 0.021625, 0.053061, 0.126164, 0.230704, 0.141249, 0.046520, 0.036077, 0.020465, 0.012553, 0.012553, 0.009705, 0.026900, 0.184500, 0.420267, 0.034706, 0.009388, 0.001266, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000422, 0.000633, 0.001899, 0.001899, 0.001899, 0.002743, 0.002321, 0.003481, 0.004114, 0.004325, 0.004431, 0.004958, 0.005485, 0.005696, 0.006435, 0.003376, 0.005696, 0.002637, 0.003692, 0.004325, 0.004009, 0.004747, 0.005169, 0.014346, 0.031541, 0.066880, 0.101058, 0.078694, 0.026161, 0.023207, 0.126164, 0.339040, 0.108020, 0.042617, 0.057069, 0.236611, 0.349589, 0.014768, 0.008228, 0.008861, 0.008439, 0.002637, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000527, 0.001477, 0.002743, 0.002637, 0.002743, 0.003798, 0.004114, 0.005485, 0.005274, 0.005802, 0.006751, 0.007068, 0.004641, 0.004325, 0.003587, 0.004641, 0.003692, 0.003376, 0.003165, 0.004536, 0.003587, 0.005063, 0.004852, 0.006646, 0.010760, 0.038503, 0.094412, 0.090826, 0.050951, 0.024895, 0.018882, 0.071627, 0.204859, 0.277540, 0.143886, 0.231020, 0.322584, 0.012026, 0.007279, 0.009388, 0.010232, 0.007701, 0.000422, 0.000000, 0
0.002720, 0.001288, 0.001575, 0.000716, 0.000716, 0.001575, 0.001288, 0.001718, 0.000716, 0.001575, 0.002577, 0.003865, 0.006012, 0.006298, 0.005153, 0.005153, 0.007587, 0.009161, 0.014744, 0.023905, 0.030346, 0.048525, 0.099627, 0.119810, 0.139993, 0.187802, 0.217576, 0.175349, 0.071571, 0.040939, 0.022760, 0.020469, 0.023905, 0.024620, 0.043229, 0.041511, 0.033066, 0.045662, 0.047809, 0.053678, 0.070426, 0.110363, 0.269680, 0.200399, 0.053535, 0.041368, 0.012740, 0.000143, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000286, 0.000286, 0.000859, 0.000429, 0.001718, 0.005439, 0.009018, 0.013312, 0.016604, 0.011308, 0.010879, 0.012024, 0.008016, 0.009734, 0.007014, 0.008589, 0.010163, 0.008875, 0.017177, 0.016604, 0.021042, 0.029058, 0.048668, 0.107500, 0.148152, 0.228169, 0.317919, 0.171198, 0.071428, 0.059977, 0.045519, 0.029917, 0.039794, 0.063698, 0.082736, 0.142713, 0.225306, 0.128971, 0.047380, 0.049813, 0.055396, 0.044517, 0.017177, 0.000859, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000429, 0.000859, 0.001575, 0.004151, 0.008159, 0.013169, 0.014887, 0.011738, 0.011308, 0.009877, 0.010736, 0.010593, 0.009304, 0.010306, 0.008016, 0.009018, 0.009734, 0.008445, 0.010879, 0.010020, 0.015602, 0.022044, 0.033209, 0.066991, 0.103635, 0.170769, 0.272399, 0.289433, 0.169623, 0.070283, 0.064557, 0.071857, 0.098768, 0.187659, 0.170196, 0.048096, 0.034354, 0.032780, 0.041797, 0.048525, 0.050959, 0.056112, 0.040796, 0.011595, 0.000000, 0.000000, 0
0.000125, 0.000374, 0.000499, 0.000499, 0.001996, 0.009605, 0.050645, 0.057881, 0.058878, 0.044034, 0.024574, 0.021081, 0.030312, 0.019335, 0.016715, 0.016965, 0.015967, 0.017838, 0.014969, 0.010853, 0.013971, 0.008981, 0.014345, 0.009106, 0.007984, 0.011102, 0.015468, 0.041040, 0.053639, 0.059128, 0.064118, 0.053140, 0.037922, 0.018337, 0.015343, 0.056758, 0.138589, 0.201085, 0.089565, 0.041789, 0.039793, 0.021206, 0.017090, 0.015593, 0.049149, 0.479385, 0.050521, 0.005738, 0.000624, 0.000125, 0.000374, 0.000748, 0.000624, 0.002245, 0.039918, 0.047277, 0.055261, 0.068858, 0.030811, 0.028441, 0.026944, 0.019959, 0.022454, 0.015468, 0.014470, 0.012724, 0.012973, 0.013971, 0.010478, 0.009106, 0.008981, 0.012100, 0.009979, 0.008981, 0.007110, 0.006362, 0.006611, 0.008108, 0.006487, 0.006861, 0.006861, 0.005364, 0.019585, 0.054014, 0.090314, 0.095677, 0.062995, 0.036674, 0.091312, 0.242375, 0.156053, 0.048400, 0.063868, 0.393563, 0.146323, 0.005364, 0.003119, 0.006237, 0.000873, 0.000125, 0.001123, 0.005613, 0.042038, 0.044907, 0.070355, 0.072850, 0.044159, 0.032059, 0.025073, 0.018462, 0.017713, 0.014595, 0.019834, 0.011601, 0.011601, 0.007235, 0.007859, 0.010977, 0.007110, 0.006237, 0.006861, 0.004241, 0.005613, 0.004491, 0.004865, 0.004615, 0.004241, 0.004740, 0.004491, 0.007110, 0.005613, 0.007110, 0.008108, 0.014345, 0.040042, 0.080958, 0.098796, 0.069731, 0.032059, 0.030437, 0.098671, 0.335183, 0.260587, 0.305744, 0.104784, 0.014969, 0.004865, 0.006112, 0.002495, 0.000499, 0
0.000000, 0.000000, 0.000000, 0.000815, 0.040428, 0.052817, 0.060479, 0.042221, 0.022822, 0.021355, 0.014345, 0.013856, 0.015324, 0.015160, 0.012552, 0.013041, 0.012226, 0.014834, 0.018584, 0.022659, 0.030647, 0.030647, 0.042221, 0.043036, 0.074824, 0.127968, 0.141987, 0.244198, 0.196597, 0.109058, 0.057545, 0.052165, 0.055752, 0.063902, 0.066022, 0.089985, 0.106450, 0.137912, 0.101070, 0.084605, 0.076781, 0.072379, 0.081345, 0.070586, 0.061294, 0.046786, 0.010433, 0.000815, 0.000000, 0.000326, 0.000489, 0.027387, 0.021029, 0.032766, 0.065369, 0.040917, 0.024615, 0.028039, 0.020540, 0.017280, 0.016302, 0.014834, 0.019073, 0.015487, 0.014834, 0.016628, 0.019562, 0.019562, 0.018584, 0.019725, 0.014997, 0.011574, 0.013530, 0.011248, 0.015487, 0.020703, 0.026735, 0.031951, 0.034396, 0.050861, 0.117372, 0.180948, 0.349507, 0.251208, 0.120469, 0.103189, 0.115904, 0.146551, 0.118676, 0.100907, 0.085420, 0.076455, 0.061294, 0.038961, 0.050535, 0.050861, 0.016302, 0.001304, 0.000163, 0.000326, 0.133347, 0.023311, 0.031951, 0.022496, 0.025757, 0.022333, 0.020214, 0.026083, 0.018910, 0.016791, 0.015976, 0.016302, 0.017280, 0.010107, 0.012063, 0.015324, 0.014019, 0.018095, 0.011248, 0.006684, 0.006521, 0.008803, 0.008640, 0.005869, 0.008151, 0.009944, 0.018584, 0.024452, 0.027876, 0.037494, 0.068630, 0.111340, 0.253816, 0.307937, 0.242405, 0.123566, 0.092104, 0.101396, 0.125685, 0.128620, 0.129109, 0.073194, 0.073031, 0.046786, 0.041080, 0.052002, 0.051513, 0.013530, 0.000163, 0.000326, 0
0.000000, 0.000000, 0.000000, 0.018370, 0.030179, 0.081025, 0.042153, 0.032640, 0.020830, 0.013613, 0.014598, 0.012957, 0.017550, 0.013613, 0.012957, 0.016074, 0.016402, 0.021486, 0.026407, 0.028867, 0.034772, 0.046417, 0.107924, 0.129410, 0.166642, 0.239958, 0.211091, 0.129902, 0.063475, 0.048877, 0.035592, 0.033132, 0.051010, 0.057898, 0.071184, 0.102511, 0.108580, 0.108252, 0.079385, 0.074136, 0.076432, 0.088570, 0.067903, 0.035428, 0.040348, 0.035592, 0.022142, 0.000984, 0.000000, 0.000000, 0.006889, 0.030671, 0.024439, 0.046909, 0.050025, 0.031327, 0.024767, 0.028703, 0.017386, 0.017714, 0.016566, 0.014598, 0.017550, 0.018862, 0.018698, 0.021322, 0.021322, 0.019682, 0.013777, 0.015910, 0.011317, 0.014106, 0.021650, 0.019846, 0.022470, 0.028867, 0.042973, 0.114648, 0.156145, 0.314914, 0.303433, 0.123013, 0.084305, 0.070200, 0.088078, 0.113336, 0.125474, 0.129246, 0.102019, 0.090702, 0.053142, 0.034280, 0.033132, 0.030835, 0.037888, 0.035756, 0.025915, 0.002460, 0.000000, 0.000000, 0.139579, 0.024931, 0.021486, 0.020010, 0.025095, 0.023783, 0.024275, 0.024931, 0.017222, 0.017714, 0.014106, 0.013285, 0.014270, 0.015746, 0.017058, 0.014106, 0.014106, 0.007873, 0.006069, 0.008201, 0.007053, 0.007545, 0.014598, 0.016730, 0.020830, 0.018534, 0.029359, 0.068395, 0.108908, 0.199282, 0.307861, 0.284407, 0.128590, 0.063147, 0.069051, 0.084305, 0.098739, 0.144172, 0.132690, 0.095950, 0.064459, 0.053962, 0.050517, 0.033132, 0.029687, 0.034936, 0.035592, 0.020338, 0.000656, 0.000000, 0
0.000000, 0.000127, 0.000635, 0.001523, 0.001523, 0.005332, 0.005967, 0.013330, 0.010791, 0.013584, 0.012695, 0.013457, 0.016377, 0.011553, 0.013076, 0.012441, 0.011172, 0.013584, 0.011807, 0.013457, 0.016377, 0.014727, 0.021963, 0.031992, 0.048242, 0.078838, 0.106895, 0.107022, 0.070586, 0.043799, 0.030469, 0.030850, 0.102959, 0.160850, 0.121241, 0.026914, 0.015742, 0.017900, 0.018281, 0.018154, 0.015996, 0.019424, 0.042402, 0.285899, 0.404093, 0.029961, 0.014473, 0.001523, 0.000000, 0.000000, 0.000000, 0.000127, 0.000000, 0.000381, 0.002666, 0.005840, 0.010283, 0.015742, 0.013838, 0.016504, 0.013203, 0.013203, 0.015996, 0.013584, 0.011299, 0.011934, 0.012314, 0.013838, 0.012822, 0.013457, 0.015107, 0.014600, 0.018535, 0.011426, 0.014727, 0.016123, 0.018154, 0.022090, 0.023867, 0.039736, 0.071221, 0.125557, 0.148536, 0.062842, 0.027168, 0.064873, 0.192081, 0.143077, 0.033770, 0.022725, 0.066397, 0.284630, 0.363595, 0.016885, 0.018789, 0.026406, 0.017773, 0.002285, 0.000000, 0.000000, 0.003301, 0.006729, 0.010537, 0.009268, 0.009395, 0.011299, 0.010537, 0.013838, 0.015615, 0.009902, 0.011934, 0.009902, 0.012822, 0.008633, 0.010156, 0.011172, 0.011680, 0.012949, 0.007236, 0.008633, 0.010918, 0.011299, 0.014346, 0.011934, 0.012441, 0.011680, 0.013203, 0.017900, 0.015361, 0.020440, 0.027676, 0.059033, 0.136856, 0.111973, 0.077949, 0.036309, 0.033262, 0.068809, 0.174815, 0.335157, 0.224454, 0.232579, 0.120479, 0.017139, 0.017520, 0.020566, 0.025518, 0.014219, 0.000635, 0.000000, 0
0.000000, 0.000000, 0.000000, 0.000111, 0.000000, 0.000111, 0.000556, 0.000334, 0.001557, 0.002001, 0.000445, 0.001223, 0.002001, 0.001223, 0.001112, 0.001890, 0.003336, 0.002557, 0.001779, 0.002224, 0.002668, 0.002780, 0.006226, 0.021570, 0.055593, 0.088948, 0.103847, 0.124305, 0.065377, 0.034467, 0.027908, 0.038137, 0.201246, 0.180009, 0.017790, 0.009228, 0.008672, 0.018902, 0.023127, 0.020347, 0.025017, 0.019569, 0.034467, 0.181566, 0.426174, 0.034467, 0.021792, 0.004892, 0.000111, 0.000000, 0.000000, 0.000000, 0.000000, 0.000111, 0.000000, 0.000222, 0.000445, 0.000778, 0.002446, 0.001001, 0.000889, 0.001001, 0.002780, 0.002891, 0.001890, 0.002668, 0.005115, 0.005670, 0.007783, 0.008895, 0.006449, 0.004447, 0.004003, 0.003447, 0.003780, 0.004559, 0.005559, 0.006226, 0.010340, 0.041472, 0.095842, 0.151768, 0.169335, 0.052702, 0.029464, 0.139649, 0.233934, 0.028352, 0.024683, 0.028686, 0.056482, 0.243607, 0.343785, 0.015121, 0.019791, 0.025461, 0.021681, 0.006338, 0.000111, 0.000000, 0.000000, 0.000000, 0.000000, 0.000111, 0.000000, 0.000222, 0.000667, 0.001223, 0.002335, 0.000778, 0.001112, 0.002446, 0.003002, 0.003113, 0.005670, 0.008005, 0.010007, 0.007783, 0.002113, 0.002668, 0.002224, 0.003224, 0.003336, 0.003447, 0.002557, 0.003558, 0.004336, 0.004336, 0.005559, 0.008561, 0.026351, 0.082166, 0.193463, 0.129753, 0.061930, 0.034467, 0.020903, 0.055815, 0.173116, 0.319436, 0.282522, 0.224372, 0.026240, 0.015900, 0.018012, 0.022126, 0.022571, 0.019013, 0.001001, 0.000111, 0
0.000000, 0.000000, 0.000000, 0.000000, 0.000112, 0.000224, 0.001231, 0.002797, 0.001902, 0.001343, 0.000112, 0.000783, 0.001231, 0.002126, 0.001567, 0.001790, 0.002909, 0.001902, 0.003133, 0.003469, 0.004476, 0.013651, 0.068929, 0.089742, 0.109436, 0.103729, 0.080902, 0.041178, 0.025401, 0.067698, 0.167958, 0.183959, 0.021037, 0.010518, 0.011973, 0.014994, 0.020030, 0.017792, 0.013092, 0.012421, 0.016001, 0.023834, 0.239461, 0.392424, 0.032450, 0.019023, 0.004364, 0.000224, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000112, 0.000112, 0.002126, 0.003133, 0.001567, 0.001119, 0.001455, 0.001007, 0.002462, 0.002686, 0.003916, 0.004700, 0.006042, 0.008616, 0.007609, 0.004364, 0.005035, 0.003693, 0.005147, 0.004476, 0.005035, 0.004588, 0.006378, 0.054494, 0.111450, 0.154866, 0.150055, 0.066691, 0.036255, 0.128235, 0.241475, 0.018687, 0.017792, 0.027191, 0.024282, 0.098022, 0.354939, 0.184743, 0.013763, 0.017904, 0.022044, 0.018575, 0.006042, 0.000448, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000112, 0.000000, 0.000112, 0.002350, 0.003357, 0.002350, 0.001231, 0.001455, 0.002238, 0.004476, 0.005819, 0.007385, 0.007609, 0.004476, 0.004812, 0.002909, 0.002797, 0.002238, 0.003916, 0.004588, 0.003916, 0.003805, 0.004140, 0.005483, 0.014435, 0.035248, 0.095001, 0.157775, 0.142445, 0.083811, 0.032450, 0.022268, 0.033457, 0.094665, 0.318796, 0.300109, 0.297535, 0.026184, 0.010183, 0.013092, 0.012197, 0.018799, 0.022603, 0.016673, 0.003916, 0.000112, 0.000000, 0
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000105, 0.000421, 0.000421, 0.000842, 0.000736, 0.000736, 0.001052, 0.000736, 0.000842, 0.001052, 0.001157, 0.001894, 0.001473, 0.001368, 0.002630, 0.004839, 0.014624, 0.036822, 0.061230, 0.085111, 0.063018, 0.065648, 0.032298, 0.019673, 0.017675, 0.052918, 0.275744, 0.082166, 0.038190, 0.025565, 0.019568, 0.020305, 0.014203, 0.012940, 0.013992, 0.015255, 0.052603, 0.380739, 0.281846, 0.015991, 0.004734, 0.000421, 0.000105, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000210, 0.000736, 0.000526, 0.000736, 0.000736, 0.001157, 0.000842, 0.002104, 0.002104, 0.002104, 0.002525, 0.004419, 0.002735, 0.002946, 0.002209, 0.002315, 0.002841, 0.002315, 0.004103, 0.003577, 0.005681, 0.010100, 0.026617, 0.068278, 0.101734, 0.107099, 0.059967, 0.018727, 0.046185, 0.220827, 0.174010, 0.043240, 0.023250, 0.029142, 0.131402, 0.414300, 0.153600, 0.013887, 0.013677, 0.014413, 0.005155, 0.001052, 0.000105, 0.000000, 0.000105, 0.000000, 0.000105, 0.000000, 0.000000, 0.000105, 0.000421, 0.000526, 0.000842, 0.001157, 0.001157, 0.002735, 0.001473, 0.002630, 0.002841, 0.003156, 0.002525, 0.002315, 0.001052, 0.001788, 0.001683, 0.001157, 0.001473, 0.002315, 0.003682, 0.003156, 0.004839, 0.009153, 0.010731, 0.023040, 0.056706, 0.094790, 0.115937, 0.058284, 0.017780, 0.015676, 0.026933, 0.140870, 0.320141, 0.262383, 0.288263, 0.158019, 0.022619, 0.015044, 0.013045, 0.013992, 0.012519, 0.004313, 0.000105, 0.000105, 0
0.000000, 0.000000, 0.000560, 0.000448, 0.000336, 0.000224, 0.000336, 0.000336, 0.000448, 0.000112, 0.000224, 0.000672, 0.000672, 0.001345, 0.002577, 0.003698, 0.006948, 0.006275, 0.004370, 0.001793, 0.006275, 0.019387, 0.074857, 0.077883, 0.074072, 0.053789, 0.030481, 0.020619, 0.015128, 0.028351, 0.090097, 0.155093, 0.194874, 0.049979, 0.057936, 0.066564, 0.038885, 0.019499, 0.010198, 0.011542, 0.012663, 0.018154, 0.105338, 0.415187, 0.148145, 0.008853, 0.000672, 0.000112, 0.000000, 0.000000, 0.000000, 0.000000, 0.000560, 0.001121, 0.008629, 0.005603, 0.003250, 0.003250, 0.001905, 0.001569, 0.002465, 0.000896, 0.001793, 0.001233, 0.001233, 0.001121, 0.001121, 0.001905, 0.000448, 0.001233, 0.001569, 0.001457, 0.001569, 0.001009, 0.002241, 0.001569, 0.005603, 0.036084, 0.082029, 0.135146, 0.084158, 0.029584, 0.021628, 0.044040, 0.171454, 0.232191, 0.094804, 0.093571, 0.037428, 0.046842, 0.228717, 0.360389, 0.045945, 0.016361, 0.012103, 0.007508, 0.001345, 0.000336, 0.000000, 0.000000, 0.000000, 0.000000, 0.000560, 0.001905, 0.006387, 0.008629, 0.003474, 0.002577, 0.002353, 0.001681, 0.001569, 0.001457, 0.001681, 0.001121, 0.000672, 0.001345, 0.001345, 0.001681, 0.001905, 0.001233, 0.000896, 0.001793, 0.002465, 0.001009, 0.001569, 0.001345, 0.003250, 0.007060, 0.025774, 0.085279, 0.119905, 0.089873, 0.046057, 0.011542, 0.012999, 0.013896, 0.046617, 0.231855, 0.294273, 0.229725, 0.332149, 0.146016, 0.034291, 0.015913, 0.016473, 0.015689, 0.005827, 0.000784, 0.000112, 0.000000, 0
0.000000, 0.000000, 0.000000, 0.000000, 0.000378, 0.000000, 0.000000, 0.000252, 0.000252, 0.000126, 0.000756, 0.000630, 0.001890, 0.002646, 0.003150, 0.002016, 0.002016, 0.004662, 0.002520, 0.005544, 0.006552, 0.009828, 0.013356, 0.016632, 0.029862, 0.052668, 0.050778, 0.072954, 0.048888, 0.055314, 0.052164, 0.059346, 0.106848, 0.089208, 0.105462, 0.079002, 0.083286, 0.097524, 0.075726, 0.075726, 0.069048, 0.066150, 0.172746, 0.293328, 0.243180, 0.008316, 0.002268, 0.001008, 0.000378, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000504, 0.000000, 0.000000, 0.000504, 0.000126, 0.001008, 0.002268, 0.001260, 0.003276, 0.003402, 0.003024, 0.002394, 0.003402, 0.004662, 0.004158, 0.003024, 0.002268, 0.006174, 0.004158, 0.004914, 0.008568, 0.009702, 0.012600, 0.023814, 0.021672, 0.038556, 0.056574, 0.068418, 0.081144, 0.069804, 0.081144, 0.111762, 0.113778, 0.169974, 0.127008, 0.132552, 0.212184, 0.313363, 0.257796, 0.057330, 0.030492, 0.012978, 0.001890, 0.000378, 0.000378, 0.000000, 0.000000, 0.000000, 0.000000, 0.000126, 0.000126, 0.000378, 0.000000, 0.000630, 0.001008, 0.001008, 0.002268, 0.001890, 0.002268, 0.004032, 0.003150, 0.002142, 0.004032, 0.004410, 0.004032, 0.004158, 0.003150, 0.003150, 0.006048, 0.003528, 0.005166, 0.006048, 0.006552, 0.009324, 0.011466, 0.014868, 0.022302, 0.024948, 0.050148, 0.040698, 0.033768, 0.028728, 0.037044, 0.085806, 0.154602, 0.267750, 0.304165, 0.260316, 0.293706, 0.145026, 0.100674, 0.069804, 0.034398, 0.004914, 0.000630, 0.000000, 0
0.000000, 0.000000, 0.000127, 0.000380, 0.000507, 0.000127, 0.001520, 0.002913, 0.002153, 0.001900, 0.002913, 0.004433, 0.004813, 0.003420, 0.007219, 0.007219, 0.006839, 0.008486, 0.010259, 0.021911, 0.014439, 0.016592, 0.021151, 0.022925, 0.023938, 0.032677, 0.037870, 0.047242, 0.053955, 0.088152, 0.120702, 0.132481, 0.120702, 0.092078, 0.104744, 0.122476, 0.137294, 0.165665, 0.138054, 0.122982, 0.087772, 0.075993, 0.089292, 0.062694, 0.041416, 0.006333, 0.003420, 0.003546, 0.001013, 0.000380, 0.000000, 0.000000, 0.000000, 0.000127, 0.000000, 0.000507, 0.002280, 0.002026, 0.002913, 0.004053, 0.004053, 0.005193, 0.006459, 0.005699, 0.006206, 0.006713, 0.006206, 0.010386, 0.007853, 0.008613, 0.007979, 0.011652, 0.010259, 0.012412, 0.020771, 0.018238, 0.018618, 0.024824, 0.023811, 0.029131, 0.042303, 0.041796, 0.059275, 0.081439, 0.115763, 0.180484, 0.157939, 0.211894, 0.226079, 0.240265, 0.201002, 0.136154, 0.087772, 0.021531, 0.008233, 0.002913, 0.001520, 0.001520, 0.000253, 0.000000, 0.000000, 0.000000, 0.000000, 0.000253, 0.000000, 0.000887, 0.001647, 0.003420, 0.002786, 0.002786, 0.005573, 0.005193, 0.006713, 0.005953, 0.007093, 0.007093, 0.006713, 0.008359, 0.007599, 0.009119, 0.008359, 0.008866, 0.010512, 0.009246, 0.009372, 0.010006, 0.008739, 0.016085, 0.022925, 0.024064, 0.023811, 0.028624, 0.047242, 0.041796, 0.065861, 0.070167, 0.074220, 0.105377, 0.097904, 0.074093, 0.054335, 0.126402, 0.498895, 0.386678, 0.126528, 0.031664, 0.007473, 0.002406, 0.001900, 0.000380, 0
